order,job_id,company,job_title,city,recruitment_type,role_category,pilot_reference,requirement_id,source_text,normalized_requirement,source_section,requirement_type,importance,eligibility_category,knowledge_topics,knowledge_text,score_included,ai_match_label,ai_eligibility_status,ai_evidence_ids,ai_grounding_reason,human_taxonomy_decision,human_match_label,human_eligibility_status,human_evidence_ids,human_grounding_reason,human_edit,human_accept_reject,human_notes,review_status,job_human_match_fit
26,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,experienced,mismatched_control,true,reqv2_add5785a52626200,8. 有GPU/国产计算卡算子开发经验优先,GPU 或国产计算卡算子开发经验,preferred,matchable,Preferred,,,,true,Missing,,,当前证据目录没有算子或计算卡开发经验。,accepted AI taxonomy,Missing,,,当前证据目录没有算子或计算卡开发经验。,,accept,,accepted,2
26,huawei:28183,华为,AI大模型架构师（训练/推理）,北京,experienced,mismatched_control,true,reqv2_c9a1b9d71f995b37,9. 有顶会论文者优先,顶级会议论文发表,preferred,matchable,Preferred,,,,true,Missing,,,当前证据目录没有论文发表记录（可核验的成果型加分项，归 matchable Preferred）。,accepted AI taxonomy,Missing,,,当前证据目录没有论文发表记录（可核验的成果型加分项，归 matchable Preferred）。,,accept,,accepted,2
27,tencent:2064981110395420672,腾讯,微信-语音识别算法工程师,北京,experienced,mismatched_control,false,reqv2_ddd61beb368e5153,1.计算机、人工智能、语音信号处理等相关专业，硕士及以上学历优先；,计算机 / 人工智能 / 语音信号处理相关专业,preferred,matchable,Preferred,,,,true,Strong,,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士覆盖计算机 / 人工智能相关专业。,matchable,Strong,,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士覆盖计算机 / 人工智能相关专业。,,accept,,accepted,2
27,tencent:2064981110395420672,腾讯,微信-语音识别算法工程师,北京,experienced,mismatched_control,false,reqv2_ffe72039c28ab86a,1.计算机、人工智能、语音信号处理等相关专业，硕士及以上学历优先；,硕士及以上学历,preferred,matchable,Preferred,,,,true,Strong,,resume_extracted:resume:1:education:0,候选人在读 UNSW 双硕士，满足硕士及以上学历偏好。,matchable,Strong,,resume_extracted:resume:1:education:0,候选人在读 UNSW 双硕士，满足硕士及以上学历偏好。,,accept,,accepted,2
27,tencent:2064981110395420672,腾讯,微信-语音识别算法工程师,北京,experienced,mismatched_control,false,reqv2_db1d8efa4071bf5f,2.具备流式语音识别模型研发经验，熟悉模型训练、流式解码、状态缓存和延迟优化；,流式语音识别模型研发经验（模型训练 / 流式解码 / 延迟优化）,requirements,matchable,Important,,,,true,Missing,,,有一般 NLP 与模型训练支持经历，但与流式 ASR 模型研发、流式解码、延迟优化无实际重叠。,matchable,Missing,,,有一般 NLP 与模型训练支持经历，但与流式 ASR 模型研发、流式解码、延迟优化无实际重叠。,,accept,,accepted,2
28,baidu:0f336f8e-a440-4ebb-a45a-5554b493e527,百度,北京-策略产品经理(J100784),北京,campus,strategy_growth_fintech,false,reqv2_13507127331931b1,本科及以上学历，计算机、统计学、数学等相关专业优先,本科及以上学历（在读）,education,eligibility,Critical,degree,,,false,,Supported,manual_confirmed:profile:candidate_type|resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,校招身份已确认，已验证本科与在读硕士学历满足门槛。,eligibility,,Supported,manual_confirmed:profile:candidate_type|resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,校招身份已确认，已验证本科与在读硕士学历满足门槛。,,accept,,accepted,5
28,baidu:0f336f8e-a440-4ebb-a45a-5554b493e527,百度,北京-策略产品经理(J100784),北京,campus,strategy_growth_fintech,false,reqv2_11b4fc87edba9c18,本科及以上学历，计算机、统计学、数学等相关专业优先,计算机 / 统计学 / 数学相关专业,preferred,matchable,Preferred,,,,true,Strong,,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与金融科技 / 信息技术教育覆盖计算机与统计 / 数学相关方向。,matchable,Strong,,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与金融科技 / 信息技术教育覆盖计算机与统计 / 数学相关方向。,,accept,,accepted,5
28,baidu:0f336f8e-a440-4ebb-a45a-5554b493e527,百度,北京-策略产品经理(J100784),北京,campus,strategy_growth_fintech,false,reqv2_3d6e9ecaea7fb1e3,具备较强的数据分析能力，熟练使用SQL等数据工具,较强的数据分析能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:19|resume_extracted:20|resume_extracted:30,KPI、业务分析与百万级数据项目提供多项直接证据。,matchable,Strong,,resume_extracted:19|resume_extracted:20|resume_extracted:30,KPI、业务分析与百万级数据项目提供多项直接证据。,,accept,,accepted,5
28,baidu:0f336f8e-a440-4ebb-a45a-5554b493e527,百度,北京-策略产品经理(J100784),北京,campus,strategy_growth_fintech,false,reqv2_9aba33d812261db8,具备较强的数据分析能力，熟练使用SQL等数据工具,熟练使用 SQL 等数据工具,requirements,matchable,Important,,,,true,Strong,,resume_extracted:18|resume_extracted:resume:1:skills:4,技能目录与 SQL 触发器 / 归因逻辑项目提供直接实践支持（edge case A）。,matchable,Strong,,resume_extracted:18|resume_extracted:resume:1:skills:4,技能目录与 SQL 触发器 / 归因逻辑项目提供直接实践支持（edge case A）。,,accept,,accepted,5
29,baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,大模型策略产品经理（J97330）,北京,experienced,strategy_growth_fintech,true,reqv2_19cb5767e509c144,-本科及以上学历，戏剧影视文学、创意写作、文学等相关专业优先,本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与硕士教育记录直接满足本科及以上学历。,accepted AI taxonomy,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与硕士教育记录直接满足本科及以上学历。,,accept,,accepted,2
29,baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,大模型策略产品经理（J97330）,北京,experienced,strategy_growth_fintech,true,reqv2_8c4d70d605961309,-本科及以上学历，戏剧影视文学、创意写作、文学等相关专业优先,戏剧影视文学、创意写作或文学相关专业,preferred,matchable,Preferred,,,,true,Missing,,,已验证专业为软件工程、金融科技与信息技术，没有戏剧影视文学/创意写作/文学相关专业证据。,accepted AI taxonomy,Missing,,,已验证专业为软件工程、金融科技与信息技术，没有戏剧影视文学/创意写作/文学相关专业证据。,,accept,,accepted,2
29,baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,大模型策略产品经理（J97330）,北京,experienced,strategy_growth_fintech,true,reqv2_6357d38814ca4445,-行业理解：深刻理解小说、剧本、直播脚本的创作全流程，,理解小说、剧本及直播脚本的创作全流程,requirements,matchable,Important,,,,true,Missing,,,当前已验证证据中没有内容创作流程经历。,accepted AI taxonomy,Missing,,,当前已验证证据中没有内容创作流程经历。,,accept,,accepted,2
29,baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,大模型策略产品经理（J97330）,北京,experienced,strategy_growth_fintech,true,reqv2_0b5191a0696ab0a6,对“什么是好内容”有敏锐的直觉与可拆解的方法论,内容审美直觉与可拆解方法论,requirements,matchable,Important,,,,true,Missing,,,没有可验证的内容审美、编剧或创意方法论证据。,accepted AI taxonomy,Missing,,,没有可验证的内容审美、编剧或创意方法论证据。,,accept,,accepted,2
29,baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,大模型策略产品经理（J97330）,北京,experienced,strategy_growth_fintech,true,reqv2_625b09ad16b202a8,-加分项：有短视频、短剧、漫剧行业资深从业经验者优先；,短视频、短剧或漫剧行业资深从业经验,preferred,matchable,Preferred,,,,true,Missing,,,当前证据目录没有相关行业从业经历。,accepted AI taxonomy,Missing,,,当前证据目录没有相关行业从业经历。,,accept,,accepted,2
30,tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,experienced,strategy_growth_fintech,true,reqv2_9d182166c3cb9ce2,1.本科及以上学历，3-5 年互联网产品经验，有用户增长、增长运营或内容平台产品经验优先；,本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,本科与硕士教育记录直接满足本科及以上学历。,accepted AI taxonomy,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,本科与硕士教育记录直接满足本科及以上学历。,,accept,,accepted,4
30,tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,experienced,strategy_growth_fintech,true,reqv2_648e3cbb6c5e8231,1.本科及以上学历，3-5 年互联网产品经验，有用户增长、增长运营或内容平台产品经验优先；,三至五年互联网产品经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证产品经历明显不足三年。,accepted AI taxonomy,,PotentialGap,,候选人为 2027 届应届，已验证产品经历明显不足三年。,,accept,,accepted,4
30,tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,experienced,strategy_growth_fintech,true,reqv2_b741297aa944df7f,有用户增长、增长运营或内容平台产品经验优先；,用户增长、增长运营或内容平台产品经验,preferred,matchable,Preferred,,,,true,Strong,,resume_extracted:16|resume_extracted:19|resume_extracted:resume:1:domain_experience:3,KPay 经历直接覆盖增长策略、增长运营与转化优化。,accepted AI taxonomy,Strong,,resume_extracted:16|resume_extracted:19|resume_extracted:resume:1:domain_experience:3,KPay 经历直接覆盖增长策略、增长运营与转化优化。,,accept,,accepted,4
30,tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,experienced,strategy_growth_fintech,true,reqv2_02360706ab26d285,2.具备完整的增长方法论与项目落地经验，,增长方法论与项目落地经验,requirements,matchable,Important,,,,true,Strong,,resume_extracted:16|resume_extracted:19,渠道增长框架、KPI 与转化路径优化构成完整且落地的增长实践。,accepted AI taxonomy,Strong,,resume_extracted:16|resume_extracted:19,渠道增长框架、KPI 与转化路径优化构成完整且落地的增长实践。,,accept,,accepted,4
30,tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,experienced,strategy_growth_fintech,true,reqv2_55b9c7ddc30bd02b,数据敏感度高，逻辑清晰，,数据敏感度与逻辑能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:19|resume_extracted:20|resume_extracted:30,多项数据分析、KPI 与机器学习项目提供直接支持。,accepted AI taxonomy,Strong,,resume_extracted:19|resume_extracted:20|resume_extracted:30,多项数据分析、KPI 与机器学习项目提供直接支持。,,accept,,accepted,4
30,tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,experienced,strategy_growth_fintech,true,reqv2_7ed93fe4bb09d26f,熟练通过数据分析与 AB 实验驱动产品迭代；,通过数据分析驱动产品迭代,requirements,matchable,Important,,,,true,Strong,,resume_extracted:19|resume_extracted:27|resume_extracted:resume:1:product_experience:9,数据驱动的转化优化与用户反馈迭代记录直接覆盖。,accepted AI taxonomy,Strong,,resume_extracted:19|resume_extracted:27|resume_extracted:resume:1:product_experience:9,数据驱动的转化优化与用户反馈迭代记录直接覆盖。,,accept,,accepted,4
30,tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,experienced,strategy_growth_fintech,true,reqv2_cd8c089c6f3c4688,熟练通过数据分析与 AB 实验驱动产品迭代；,通过 AB 实验驱动产品迭代,requirements,matchable,Important,,,,true,Missing,,,当前已验证证据没有 AB 实验设计或执行记录。复合拆分：候选人对数据分析有证据、对 AB 实验没有（沿用 V1 拆分）。,accepted AI taxonomy,Missing,,,当前已验证证据没有 AB 实验设计或执行记录。复合拆分：候选人对数据分析有证据、对 AB 实验没有（沿用 V1 拆分）。,,accept,,accepted,4
